Tiempo autenticacion,Tiempo Consulta;
300048,1482;6%
192888,1002;
257184,1594;
300350,118;
967458,5126;
366155,1612;
303972,1253;
171758,9177;
353477,2931;
236658,1286;
149118,5434;
236356,1038;
281333,1283;
238167,9629;
200736,1014;
296124,1259;
314538,1817;
208283,1075;
690352,3547;
1038094,499;
554214,3242;
516481,1712;
326914,134;
371890,1618;
333856,1624;
220961,8694;
198321,9116;
322687,1434;
315442,1358;
327216,1811;
1005192,479;
997344,4845;
1044735,489;
1007606,488;
625151,2844;
591342,2862;
704842,2973;
998249,5198;
681900,3314;
618208,377;
525839,2599;
348346,1751;
267447,1132;
350760,1681;
357100,5766;
777590,361;
415962,2176;
336271,5735;
126479,4286;
772760,3683;
1027227,35;
952064,4591;
359213,1838;
276202,8663;
388191,1926;
436489,217;
767326,364;
717821,3592;
757667,3526;
325103,1829;
241186,1241;
359514,1192;
550289,4413;
922180,464;
505010,2418;
413849,1693;
421396,1461;
316349,1718;
173871,6158;
267447,5584;
312122,1271;
143987,809;
147005,5524;
127083,8241;
95690,43166;
250845,1699;
244507,1277;
242695,1183;
907087,2355;
470900,157;
455506,2201;
437696,2152;
868450,4464;
607945,304;
568401,3;
691560,4742;
363741,1552;
360721,1769;
436489,2134;
837358,4274;
867544,4314;
869053,4341;
591946,2997;
340799,2505;
255373,8331;
325706,1582;
365250,1775;
858789,4302;
517991,2566;
520707,2563;
403283,125;
324197,2533;
461543,2222;
485088,2321;
623943,4884;
312122,1893;
280125,1102;
270768,1316;
437696,2155;
852752,4398;
706954,3517;
737442,3619;
689749,3547;
694277,2484;
691862,3299;
706351,3544;
706954,348;
703332,3462;
699710,3432;
651714,3583;
713595,3622;
387889,1911;
860298,4317;
853960,4374;
454600,1355;
207076,1265;
143383,7064;
166928,966;
139157,5403;
140667,9901;
189568,6913;
169947,1343;
204359,9478;
142779,8905;
206773,6913;
226092,7365;
490521,2403;
481164,2388;
500483,2424;
466070,2394;
315745,179;
348648,1739;
266240,134;
262617,1301;
863016,4292;
874788,5702;
495050,2388;
509237,2385;
868449,4389;
583494,2952;
589833,1974;
632999,3278;
459731,2146;
490823,2412;
483277,2385;
534291,2487;
398152,2059;
403888,1376;
498067,2554;
519198,2557;
510745,2536;
839169,4772;
888372,4311;
834339,4084;
869053,4631;
852752,4289;
708464,3562;
235752,1174;
303670,169;
346535,1645;
320575,4305;
832226,4196;
864525,4295;
745894,4069;
842187,4371;
390304,1923;
402077,1935;
357703,1986;
302161,1268;
390606,1461;
377928,1911;
384568,1953;
391813,1715;
363137,2013;
265334,1546;
383361,1229;
157269,9509;
213415,9418;
173267,6037;
204661,1063;
197114,5947;
178399,5856;
263523,1005;
248732,7245;
151835,4347;
688541,3363;
842489,4289;
849432,4274;
828604,4344;
508633,2521;
842188,4305;
837660,4305;
840075,2777;
586814,2327;
585306,2958;
584098,2819;
647186,2729;
560553,2807;
344421,1017;
288879,2662;
620924,5243;
303671,1008;
355591,1893;
367664,1769;
866638,4292;
501388,2602;
508331,2626;
515274,2551;
478749,1262;
480259,2539;
490522,253;
847922,4356;
840376,425;
872675,2994;
17917159,29;
294313,9086;
368872,1503;
358609,1742;
845508,4643;
760987,2514;
457317,2856;
168135,7094;
218848,1238;
280427,1105;
254166,1093;
241186,1057;
845206,4169;
188058,1032;
211906,1216;
188058,1328;
130403,4558;
131309,8331;
889882,4187;
406907,1878;
341705,1835;
172664,5977;
125573,7697;
146703,5735;
139761,7003;
181719,7064;
150024,4649;
143384,5252;
211000,7486;
275597,978;
330838,1268;
843395,444;
806568,2484;
307595,2847;
316952,1639;
325404,1645;
846413,5358;
421999,2131;
414755,2176;
422301,2089;
835546,5228;
835245,4193;
297633,1488;
297935,1437;
319971,1488;
827396,2847;
844905,4332;
802643,4311;
505312,2563;
509841,2391;
449771,2587;
483881,2557;
500181,2514;
460033,1524;
540027,2533;
526141,2502;
488106,2496;
521613,2542;
466977,2484;
508935,2533;
507123,2759;
500784,2533;
499275,2551;
479050,2505;
499577,2511;
504709,2518;
861808,4154;
840376,4217;
842188,4024;
575646,2901;
600096,2871;
565685,2958;
571420,2883;
573230,2964;
582890,3314;
583192,2928;
887466,428;
831321,3188;
547874,2828;
547875,2285;
850036,3819;
239978,6732;
199831,1123;
208283,1268;
128894,6158;
124064,5102;
158174,5675;
155759,6339;
185342,6611;
225790,4619;
212811,1401;
572627,2931;
573230,2201;
659261,4709;
351666,2022;
393020,2207;
290993,1093;
314235,1262;
385776,1938;
122857,6037;
118027,4347;
217338,9237;
224282,1102;
457317,237;
462448,2342;
469391,2321;
459128,2297;
348346,2801;
206472,1512;
327518,1733;
341704,1757;
344421,1805;
803248,4232;
813511,4516;
839471,4232;
810492,4211;
797513,4102;
198020,8512;
316952,1108;
348044,1609;
811699,4172;
803851,4377;
799324,4652;
853055,4226;
826189,4486;
813812,4148;
365853,1923;
356496,1872;
370381,1884;
812907,4184;
831924,4268;
826792,2874;
447355,2442;
258995,1099;
268051,1386;
274692,1383;
217942,1398;
272881,1443;
274390,1376;
843696,4326;
767930,3562;
276201,2101;
361929,1859;
222168,1515;
232432,9448;
244808,9931;
271975,1715;
179908,5645;
197718,9328;
151835,3924;
124668,7426;
189870,1337;
216131,1591;
246317,115;
674052,3402;
657449,336;
409321,1696;
410227,2065;
402982,2065;
491125,2629;
171154,5705;
240883,1223;
241487,1217;
815624,4166;
687333,3791;
371287,1887;
364344,1878;
379739,1878;
845206,4202;
8200309,469;
831321,2756;
410227,2035;
409019,2047;
398757,2062;
779401,4205;
815321,4178;
