Tiempo autenticacion, Tiempo Consulta
525230,159984
472103,139458
510439,179001
1202596,513157
1346582,559642
1333602,553907
1294663,487800
589224,191980
451880,164813
532475,194395
268652,122856
270464,97801
1267797,457313
546964,208885
1166373,469387
1182372,466067
1197767,430749
1005484,370680
606127,259899
1019672,447351
1156111,479046
1195653,445541
1152790,521004
361926,286160
225185,69729
746190,300045
1120190,296725
636918,247220
621523,242089
650803,260804
313629,72144
433165,147909
1096343,431051
264728,112291
243900,101424
287368,101726
258087,109574
398752,164210
1045027,426222
560547,242995
474519,235146
1037179,339287
1045027,264426
1003975,498667
1022690,495648
1028123,260200
437391,237259
1006390,481159
632087,369473
281632,134024
1036273,451577
962923,463953
1028124,457614
1005484,476631
572320,294612
714192,405695
795392,383962
955074,470292
981939,278916
397545,206168
400262,115913
374906,144891
262314,94179
158777,54334
967752,445541
687629,342909
300347,118630
194093,84822
922172,461539
911909,346531
905268,431051
917342,445842
908287,318760
907683,447653
923379,451276
913720,447653
914626,445238
958093,322383
902249,389697
872063,449163
936963,451879
859083,401168
908588,318458
739549,368868
838256,442220
948433,307894
217941,87236
151230,117120
215525,107763
365548,68522
236052,113196
773055,282839
481461,183831
317855,162097
874780,443427
903457,440408
903154,446144
896514,321779
895910,446748
876893,310007
470896,155758
893797,437692
904362,437994
889571,439202
876893,445238
893495,454294
900740,439503
889270,312723
884440,304271
217035,69427
230316,134930
156663,53127
245712,70634
148212,49806
399054,140062
831011,443729
884138,438900
603411,299743
610052,297932
292499,84218
262917,108669
717513,352267
709967,354983
708760,356794
727475,253559
717815,351361
709363,353172
853650,447653
878403,441314
927907,434371
879912,437994
872667,433768
649293,317553
889269,478744
229109,145193
161493,82407
128892,104443
156663,71540
877799,444634
517080,261710
333551,164210
592846,296121
885647,433164
874479,431051
885647,433768
889269,434070
397545,153645
719324,352568
721438,346229
662273,249937
872366,435881
430448,750113
363738,177189
319666,182020
232731,141571
305479,125271
265936,131005
924285,439804
597977,211300
152740,69125
136439,44977
212507,142174
518288,197414
798712,442824
879309,450973
359512,182321
867535,430448
869649,430146
887760,441616
862404,431353
390301,194395
599185,295215
609750,294008
594657,294612
605524,301555
580168,748000
587111,292801
863913,429542
711778,350154
713891,350455
699703,360719
712985,350154
707250,348644
702119,351361
609448,211904
563265,355285
385773,212205
263520,74559
209791,136741
318156,118328
856669,428938
890175,439805
510137,252654
539418,240580
260502,134024
211601,155155
854857,409921
392414,156060
844292,423203
598279,300046
