Tiempo autenticacion, Tiempo Consulta
500174,474214
377017,817423
733205,204054
517681,180510
584089,239673
708454,232428
667099,108970
959295,194394
370678,200431
1550930,315136
546357,109573
275895,116214
498363,173566
427426,166624
347736,117724
299742,100820
295516,181415
266236,106555
281329,134023
201338,94178
494136,183830
266236,130703
418975,179603
363433,122251
1241227,471497
490212,194395
1291335,552998
645366,195300
556016,160889
380337,163304
363131,123761
914017,366753
906168,363132
954767,325702
249634,91764
212808,90858
1020571,287668
1131956,447952
827988,274386
540320,218241
424709,149117
324494,1035060
380639,104441
306987,150625
240276,95386
369470,227901
285856,122252
972576,535188
1081546,504701
694266,158776
238164,132816
274084,135532
629368,294308
1084866,495646
707849,347737
931826,539717
405391,199225
277103,80293
560243,169642
811386,345322
600691,287667
604011,221863
412636,248426
962313,527642
955673,464856
860588,441010
872964,497456
368564,179302
222769,91462
297931,77275
202243,63993
191979,112592
953559,468479
614878,201337
752826,415050
939372,334455
974387,342303
712981,212505
381846,130401
340794,128289
472403,114403
412938,201639
234541,145796
266236,87537
249030,45278
161190,60069
319061,120742
357397,166020
795388,325701
865116,326607
672230,368565
923374,463347
593145,381242
917337,326305
908583,340191
940881,327814
415956,224278
455499,223071
923978,447047
937863,444028
933637,325098
781502,374300
743166,266538
869643,453085
499872,249332
290988,156964
257784,52523
103234,41354
376413,203148
172963,56145
157568,48599
279216,173566
260198,160889
203450,109573
151229,95386
234239,89953
509229,246012
573524,209186
677061,362225
286460,168737
169340,60069
143984,109574
152437,70030
230919,112592
823460,447047
714189,276197
390600,137042
533679,838251
903754,447348
404486,198319
317551,108970
413843,205262
398448,200130
846702,439199
818328,441312
870247,439802
903451,363735
766108,401165
612463,308798
840364,438293
807159,459423
325097,156059
309401,159983
733508,361320
876284,441614
415654,130401
236956,115309
724452,378828
724451,360415
738940,330230
348340,182924
368867,186848
680984,605219
893188,438897
899225,447349
939070,392109
962916,4487374
322381,177793
183226,66408
101725,39241
257483,59465
334757,139759
374904,166925
497456,171454
487193,242088
798708,463649
859079,435275
710868,359207
707246,364641
892283,442519
830403,434973
824366,440708
357094,193791
252954,166322
161794,56145
693663,254463
875378,437690
808970,431049
795689,360113
298534,188961
251445,129194
359207,141268
893188,437388
315136,144287
392714,195903
326607,195903
380337,159078
786633,517983
797803,441311
1013327,2942480
530963,306382
516172,275593
872361,433765
353774,151833
602200,293705
493834,294912
210392,114101
155153,104140
186848,112592
110479,45882
249030,159681
584693,199224
224881,148513
286158,151532
873568,428030
492325,242691
494136,240277
364037,248426
466969,244502
498664,162700
458215,140363
839760,433766
883831,437388
850929,434369
869644,436784
875378,435275
447349,366452
874474,433765
965029,345020
877794,432558
555111,208279
316344,89349
139457,95386
918243,539414
316042,216430
726263,428633
864814,430445
812292,204657
505305,191678
411730,119837
169039,89349
255067,127986
971671,505305
214619,133721
315136,110781
393317,118327
346227,95386
277102,182622
218241,127382
240277,109573
597069,352868
612463,250238
211600,142777
243899,102932
166020,62182
223071,119836
852438,423503
347435,133118
352567,176585
287064,129798
831610,418370
383054,191074
833421,591333
642951,268952
955371,709359
693059,387883
824970,416861
815310,423502
851532,424106
856966,421691
830402,418371
498061,178094
279216,75766
349849,177189
238767,117422
780899,437387
463649,237560
140664,95990
675853,342304
809575,416258
493834,252049
506211,255067
341096,178094
280122,168736
488099,122251
207978,149720
115309,73652
197111,51617
344114,74860
572014,397241
633895,427125
485383,306382
156059,75464
186547,135834
186245,128590
457914,214920
111686,79086
142174,49504
336870,151833
189565,111384
345020,114101
350454,57352
669514,343511
806556,505305
208884,68521
343209,205261
390298,111988
185037,112592
140966,92670
128892,90858
221561,170246
166926,73954
216128,109875
112592,40448
314835,184735
278310,46788
138552,114403
228805,54636
243899,122854
456102,180207
256878,150927
262916,127986
261406,123459
148211,115610
273178,56145
313929,95990
272877,98706
862701,432859
821649,405391
502287,254161
221260,149418
182019,136136
223977,84519
779993,431049
839458,424710
743771,430445
851533,431652
870248,426521
862399,428031
853646,425011
796594,434068
863003,425313
516172,467875
145494,86330
239371,57956
698191,346831
699398,342605
627254,370074
337775,227297
189263,201337
215223,50410
233334,47391
153040,47995
120138,48297
114101,84822
568997,291290
263821,88443
152738,126779
203450,88141
121648,51919
86029,33204
201640,105347
252351,54032
590126,230014
810178,412334
771843,411126
555413,286460
803537,413239
815008,411428
817423,421087
258086,148814
89349,73049
143683,107159
810178,415956
772144,382752
738337,416861
805952,415051
808065,418069
793576,420182
366150,108064
294610,150626
374602,186848
831610,410523
798104,410824
808367,411428
817724,410825
729583,425917
452179,230919
794784,389392
378828,148211
341096,214618
533679,459725
217033,142174
176585,155456
124968,55239
125572,82708
217034,79690
274990,101725
118931,38335
553300,280725
557526,283442
449764,201941
255369,98103
751015,373998
797501,408107
591938,327210
771842,412938
717810,412636
