Tiempo autenticacion,Tiempo Consulta
1109788330,7583611
173410907,767025
477679922,1012436
345967251,961120
740064453,738348
276580067,1085184
403066347,776986
249269350,1093938
829188704,784231
190350042,659260
323129785,839773
179721879,1356254
559433072,859393
286754535,936066
490796311,690352
549789272,968063
426615596,789061
370022114,700918
224527455,737140
867329832,611869
655648602,557836
749107251,757667
551254799,708464
700817314,617000
323652606,622132
180659453,798418
155574647,578362
170188560,780608
181241740,776382
431193896,712991
447710126,639941
146381522,763704
614407079,716614
542534990,668015
504172600,645074
453211209,538215
503904550,665901
377839062,706350
195102514,881731
569791675,638131
966487282,744686
215115784,664090
131115896,780306
120034642,662883
378287927,550893
914979827,588626
310146517,579570
234970880,705445
998594241,624547
461878495,598888
217341393,590738
158970865,834641
754847408,741668
168167612,708765
435040791,687031
265509378,512255
228582330,596172
398834280,618510
478294809,643866
669212648,565383
113800946,588927
279227675,598587
465607061,609755
155189775,1647548
206194636,751629
356392262,666506
324281379,714199
295924417,589531
1029868975,660770
211750053,637527
382596968,552704
275235285,544554
363890145,554817
236526663,601605
363240845,629679
246459040,528254
272380601,618811
212414748,492634
243319703,527952
469888330,594059
