Tiempo autenticacion,Tiempo Consulta;
350760,1618;8%
317255,1971;
190775,1108;
330536,1621;
898936,4471;
871166,5331;
565382,2035;
484786,3396;
303368,1431;
236054,2022;
496256,1265;
911314,2768;
818643,3837;
394832,1111;
1138613,547;
1142839,522;
1138613,584;
698805,3613;
692767,2364;
749214,2786;
1121709,518;
489917,2388;
499275,2708;
531574,2508;
1081864,519;
1051074,514;
760987,4253;
294916,6701;
322084,1304;
1086995,488;
381550,9811;
389097,1872;
1023001,494;
1020888,492;
770948,189;
286163,115;
285257,1283;
242091,818;
212509,1367;
219753,1011;
214321,6822;
1021492,545;
470297,221;
874788,5159;
989797,5104;
551497,227;
459732,1494;
714199,2261;
952667,4721;
1003078,494;
317254,1446;
515274,7021;
608247,2762;
373400,1763;
932443,6239;
1029642,528;
941801,4794;
426527,2065;
423207,2041;
803851,4211;
589230,2711;
500784,2264;
959610,4655;
944819,3411;
916143,5421;
345327,2587;
224281,137;
230621,1313;
272277,1564;
209490,7909;
144289,1627;
217641,7577;
512557,2505;
912219,4495;
882938,4461;
276201,8694;
238771,1455;
915237,4631;
414754,1253;
261712,1283;
901955,4474;
877807,4419;
922482,4492;
611265,3082;
546365,3007;
852752,3571;
584399,1594;
286162,1401;
712388,3517;
869656,3194;
449167,2198;
285559,1748;
923991,4398;
260806,9388;
316349,1684;
172965,1229;
218546,6792;
153646,5222;
156967,4588;
158778,4498;
149118,4951;
706351,3589;
445846,157;
829207,4389;
521914,2687;
524631,265;
258694,1733;
241487,1177;
872977,4516;
870562,4582;
894107,4395;
342610,1434;
311519,1639;
885354,4377;
889580,4413;
891391,4534;
815321,4419;
373702,1811;
741970,4401;
221263,1331;
380947,1277;
494144,2445;
440715,1579;
281937,1567;
883542,4407;
459430,3112;
481767,1491;
456110,1189;
382456,2729;
218547,5101;
158778,489;
247827,5494;
392719,1488;
247826,1201;
894711,4419;
883240,3936;
523424,2602;
690654,253;
767929,358;
706351,3571;
715104,3598;
902861,4407;
873279,4624;
896522,4371;
439507,1579;
413547,1633;
887466,4465;
524028,2599;
248732,1201;
222470,1675;
244808,1213;
853960,317;
358910,179;
907087,4443;
721141,4205;
486899,2614;
486597,2412;
405699,2019;
350761,1443;
397851,1428;
369777,115;
211604,9448;
159382,8392;
200434,9961;
531876,2575;
877505,4389;
870864,4386;
508030,5014;
393624,2019;
242393,1198;
859695,4401;
554213,2101;
883844,4335;
345327,2086;
434979,3565;
355892,157;
448261,1494;
414151,2155;
431055,163;
837358,3879;
245110,8422;
271069,16;
418679,2134;
851847,4277;
845508,432;
685221,3477;
831924,4289;
621528,3812;
693673,3686;
164212,9207;
216433,112;
187756,2309;
235148,9177;
169343,4769;
388191,2237;
314839,1485;
305179,1512;
881731,4341;
366457,1862;
145798,806;
