Tiempo autenticacion, Tiempo Consulta
1367394924,14000341
Tiempo autenticacion, Tiempo Consulta
1338583121,13962608
255447437,1758684
418221061,1156759
344550451,1255469
309616461,1251847
276911165,1027559
679864642,1016088
819147192,1205662
344703498,922811
224551537,1045068
325990995,1082801
478516499,1416063
667254706,1309806
542246291,872399
467677321,958431
629645561,1379538
1175290284,949376
407782462,1462551
424478787,1210491
548460246,823798
128330775,918887
480364234,788479
372030108,735049
437240865,776405
791144397,946960
275555475,860023
332216120,16501620
441644819,717842
322978050,928848
799648626,764933
483069878,618226
327434830,649922
454278603,718145
154408859,1647596
482746276,933074
518922149,878135
880318048,692787
545857841,2756056
626789889,718446
426248942,680109
264662564,889908
544663953,2749113
294663123,679505
549342908,667129
676817284,721464
208862244,671958
426930862,781234
260994867,898661
542638720,887794
300684788,836778
323374705,652035
718365203,732332
171601154,650827
233536340,694296
511864172,1283241
453855987,567512
462495151,621547
286267265,686448
199476561,672260
1214628227,630300
479195703,669543
407012396,760104
283778966,584417
603902551,1403989
285614023,595887
698918256,697315
261735047,13664966
673212073,766745
383739572,591058
430457285,546079
474554480,629395
327218994,582908
129606771,1010353
189282173,556343
287968292,794215
521012888,699127
595300215,620339
468916188,516195
270359118,603434
1086536229,626075
341671233,538533
324432148,527967
304457535,847344
487285466,929452
437695177,688561
527984231,533401
285823519,879040
889545251,661091
191261824,774292
182575267,539137
338337099,640866
550914434,593775
462683215,625169
312197132,505931
227438000,569625
426202454,722069
186831305,579587
673101288,502308
376918863,537023
150128671,645998
100085278,866059
455986875,591963
293157706,844627
288154243,543061
178375678,596793
119244847,560267
1127561011,504421
604397615,627886
237481756,772480
685751372,647809
281363719,583209
374272687,667732
230642933,574455
1233006863,8328843
199741299,570229
649191220,663808
555517319,485404
222358465,575059
533029353,514685
209870785,5739418
664730787,536721
172386313,554531
429072616,770066
393988598,542759
282860080,555739
233846358,744407
827631195,778216
533855565,468197
821778576,753161
356139771,516798
553936435,469707
379750687,618226
168302340,476649
451185361,527967
585704734,513477
1003525820,934583
317602986,438010
582905209,423823
276184870,611585
349504408,511667
441270201,481178
424600138,439520
953437146,507138
199650437,486309
251380971,504723
305198320,531891
208515096,482989
318760650,562078
605242544,540042
271058848,417483
564147426,459745
255520488,2718322
380560599,469103
355315671,510459
445493939,529779
922501098,594982
515825889,636036
394229791,463065
502943365,458538
609420398,488423
340394331,458839
229004997,731427
884589784,511968
226177701,638149
328195538,549702
570831692,488724
436968278,550004
259273011,405107
214364092,1514170
238293479,681920
353043812,1978142
395944402,470915
327705002,536118
324916948,460349
314297530,422011
266315292,477253
440804418,365260
326652388,550909
363791222,472725
362244752,421408
230640217,666525
710151976,412352
238942194,500498
533533774,466688
947820286,553626
533376802,463368
155079308,472726
364989940,492649
276786493,385486
313533201,766141
231590195,490234
187477907,317565
502120170,408730
590994972,436200
418944337,392428
405151380,545475
169619088,534307
259200563,443142
