621221,135533
1726015,137647
1081552,268048
339589,111686
496253,180208
1585652,621221
684913,446144
1397595,526438
1268703,561453
3477991,974695
1229160,506515
1301002,1026614
931831,274387
808975,461237
1287116,514967
1271118,490215
732605,527042
309705,94783
358002,121346
1658098,450974
1209237,422599
343513,139457
409016,159078
1066761,453087
1138904,453992
1024199,286764
891986,257483
1040499,403281
756452,348946
219751,84822
1115964,450974
1099965,537909
960206,276500
1136188,364039
1149167,437692
1290135,469085
674348,301253
1070685,431957
1058611,431051
1367712,1995272
254164,107159
296725,131006
1067365,509835
677970,225487
1054083,492932
1095739,500479
1020577,1134679
1087287,498969
1154299,3407357
1026312,482367
777280,343815
557227,294914
247523,119837
1005485,505006
1012427,472707
1030538,479650
596468,284047
1002768,473009
1010917,475424
1075817,254767
871762,479046
301253,168134
257181,159381
971072,465463
956584,334457
587715,271067
963526,466670
936660,457917
638125,335060
837954,484178
508629,224883
655028,316346
421995,219450
332042,218846
218846,109574
961111,627560
947226,458218
951452,461236
