Tiempo autenticacion, Tiempo Consulta
981028,633895
682493,692154
403882,111686
2171845,1617338
389393,165416
567789,105951
393317,140966
363433,101423
357698,117723
1484522,415051
1516217,505305
5755767,572317
1580210,511644
318456,148211
377922,75162
484175,130100
1321520,586202
513153,183528
609143,223071
1306428,465460
1240623,453990
1356536,467875
1251188,630273
1151576,460027
894396,418371
638724,497457
366754,135834
1239416,332040
1461581,407202
1116863,449763
1167273,386374
543640,220354
750713,305779
899528,310910
809876,655931
1095431,437388
306080,112894
1093318,424408
1071283,437387
1039286,433765
1084564,430143
728376,353472
339888,88746
256879,102932
331739,168133
1100865,508927
803537,532170
327210,236654
524321,72144
934844,562658
1121994,500777
1043210,485081
625443,283442
1066453,493231
1030532,517983
786936,499569
1008195,480251
990386,480553
1000347,370980
690342,349850
266236,143079
1021175,477836
349548,199526
1086979,273783
667703,329022
964124,337776
968048,344416
966238,457008
951446,341096
955672,361019
213109,65201
804142,474817
539716,257181
403278,189263
943900,335059
966237,467271
960804,460329
959597,461536
942693,358301
510739,362226
