Tiempo autenticacion, Tiempo Consulta
509229,193489
7736237,320872
687626,178698
648686,191979
467271,163908
431350,155154
276499,91764
749204,262613
455197,112592
1036569,466668
565676,246615
592541,183528
599483,249332
291592,151229
184735,86633
385771,146399
949031,389091
1234586,789652
1473655,386676
1102676,1165461
310608,88142
279517,123459
400863,159078
213713,56145
706340,236051
522209,206770
763693,316947
246917,94481
190772,61880
1099959,441915
1114448,436482
1102374,492023
493834,235145
516473,194998
1074905,471497
1021175,513153
1083960,434973
1072792,442217
1083960,535491
1131956,507116
4369046,340492
426520,206167
322985,188659
1105090,505305
1071886,565072
515568,312721
593447,99310
244804,69125
235748,62484
222165,131911
346227,162096
1078527,527944
696680,341700
724452,329625
1044720,501683
1015138,472704
814706,386374
1028721,478138
823158,383054
1031438,479345
936052,607030
426823,273782
258992,169642
270161,149116
195904,99612
333247,118931
763391,375206
420785,209186
243597,121044
981632,461838
310911,105649
237258,81198
188659,70936
255671,109272
266840,125571
903753,466668
712981,374904
1019967,468479
950541,462743
980122,458216
959596,478742
964426,468478
1185685,420484
940882,443424
913714,449764
909489,446141
923978,329625
933033,326607
939674,327815
928203,326607
910998,326305
935146,328116
928807,391204
942995,324494
927600,463045
985254,310608
577750,297931
472705,226995
279819,146400
318155,164511
363735,197111
742261,366754
871153,321174
958993,427728
610351,214920
894396,442217
880208,452179
730489,369168
1586247,629066
560242,260803
871757,444330
743167,399656
440407,226692
249935,118629
896811,437085
612766,308193
821648,440407
908885,449764
855155,442519
893188,441010
726866,347133
646573,375809
588617,498362
150626,54636
125873,45882
188357,67314
154852,46486
594051,289478
813197,457310
892585,436482
893188,437690
889566,439803
531264,259596
888661,439199
900735,412032
870247,434369
720226,356188
722036,356491
889868,437085
925487,438595
894698,436482
890773,438294
904357,437388
893792,436482
402674,196810
910092,526435
913413,439198
510134,227599
263519,87840
299440,198621
209789,113799
208582,103536
669514,301553
296724,132212
888057,460027
891076,303968
403278,217034
873870,434067
435577,213411
891076,432859
877492,434671
850024,437085
874473,431954
881114,431954
880511,433161
712378,475723
870851,431954
886245,438294
886246,434369
925185,443425
878096,435577
881718,436784
1068265,694869
459423,211902
1124108,291290
158172,99612
152135,117119
160285,58862
360716,162700
296119,118026
865116,330229
702718,350454
875077,429842
880510,436181
863002,433464
873869,437086
932128,441010
872964,431350
379130,161190
238163,54636
433162,212807
867833,428030
856664,422596
899527,432558
874776,427728
862701,429841
513757,314835
