Tiempo autenticacion, Tiempo Consulta
962027051,9135688
1112281274,16279425
1008241589,62084344
991988124,4035520
1347352658,10054841
1252948837,1027218
1178253833,1517432
438102506,3134780
517002070,944509
376319113,1030237
811512023,826785
1742041250,722645
418109339,806863
442643031,1022690
1093109762,2794890
895129002,34811605
637080299,1364391
971972319,721437
1540252268,757056
648752789,803844
1593184019,9366910
493991244,888968
736481959,890476
1827702401,725965
594550825,620316
928634172,1086684
858025399,739247
230717707,20827497
839760060,690648
998940182,672838
767036783,697590
1009997187,751019
687889998,1009711
1363189259,727474
715704569,669216
298407224,2380441
672279487,34404401
607942087,763395
490848012,626654
577757037,632993
577052504,559340
532236166,594657
1106238106,957188
745761934,554208
870866678,700308
1686668084,766414
515809434,10898530
894844954,702118
778158687,815013
526326720,683101
1827933020,663782
1078102361,693968
619352264,576848
903614491,705439
628848671,658651
1257014844,698195
528964343,8079190
680065877,591639
1955030319,524626
356567734,592242
538142291,4451478
750670424,762489
1607321168,7112646
562152865,824672
819659735,671027
415856584,629371
852878745,792072
934832192,1991951
860567031,644162
668071306,555114
619925792,510741
1399655039,515571
1387094184,577451
913060789,623333
478041145,728379
1125397244,650802
667769449,721135
1053623305,567792
951808604,18707559
875748000,658048
1191294035,2404287
962178583,424411
2953903187,593449
707427663,635408
721946660,1041405
780878415,789053
593693251,588017
933782335,572018
987942945,729285
535758530,553907
283279985,649897
421362447,588017
1260262217,541530
802099231,558435
704007327,563566
1117218139,821050
1108697634,592243
269508082,623938
1456865908,607033
699799145,543945
577828275,535191
726354068,535796
1233053472,570509
1582548405,605223
492825172,662273
456849306,637823
983800869,615183
616946769,554510
1058969486,631182
896660018,883232
609636106,594053
805451348,625144
867643153,769432
403280033,542437
1755989739,778488
552721659,642955
255814361,3092822
912986231,4456609
988364034,514061
322910731,957489
841459815,531569
610362675,4060574
655274400,1924033
520264234,476027
1336794621,6040753
432513028,545153
754643157,1562410
625137344,782111
393021741,566585
791302728,518589
744338681,713891
329134107,563264
1170941659,523721
1193285685,745585
422004195,469085
1442711554,541832
924900508,548171
423866951,784224
510870759,777583
822192311,501082
506970773,448861
312829024,606128
641775073,505912
1194557104,552398
292938489,1126227
494083612,581980
1741594804,587715
739588666,548775
672147274,22945625
385421899,570811
398340755,544549
883073153,559340
1004368468,593752
237084464,568396
380320222,515269
751398501,563265
1533175543,931831
922502861,620617
839946607,578659
544592663,565981
453564805,748302
1022691763,661670
1285752794,561151
1306227723,504704
3027415215,1065554
420207243,565679
1101450058,498365
960583574,576244
1902845059,1084872
662993173,825276
1354644606,2017307
568276628,420788
1095593438,598582
2095344406,432258
952064276,510137
1793593819,559642
2031270526,488102
1071627839,473915
789054501,1033255
563201213,2288676
293875452,334457
620161843,446748
381148817,439504
402056307,498365
355222661,499874
671203369,450974
1125263823,728379
638754093,469991
724072938,1389446
257382807,588318
531895973,584394
274287076,556623
328374333,566283
425422418,498667
1065927581,511647
2091224668,303970
476436475,405997
746346027,506817
