Tiempo autenticacion, Tiempo Consulta
556321,157570
288574,145193
723550,358908
411732,169643
404186,209488
1280174,549983
629974,270162
571716,214922
567490,239674
1130453,535192
562359,332948
698194,288273
263219,105650
277708,126478
306686,150928
1266288,379434
1065553,505308
451276,198320
308497,142175
489611,90859
265634,82407
273482,93877
335061,100518
183528,64296
425316,217639
990995,482065
375510,124969
1089400,456709
532475,322382
496554,235750
444635,213714
308799,138552
281934,153947
572018,275293
980128,478442
964432,473009
930925,489914
425015,264124
239373,93575
658953,412034
793883,387282
575037,278613
358001,148816
347135,170247
646879,318458
641144,316345
642048,319365
951754,486291
283141,131308
301554,142175
1029330,444635
840067,502893
560246,266841
539418,265634
901646,489309
332042,205564
377924,146099
268652,161191
236958,158173
182321,108065
165720,50108
147910,61277
918851,446144
626352,367360
519495,258087
521306,255371
512553,253257
866932,405695
213715,156060
115611,53429
495347,220053
703628,329023
704533,351059
302460,94481
230619,113800
229712,119837
428636,98103
236052,102631
695176,340192
702722,351059
838558,433767
913418,416562
856669,428938
743472,439504
853349,429843
1079137,412940
890779,426523
838256,425014
860291,400262
867535,426826
881723,430447
483272,238467
862706,427429
696082,344116
382754,141571
285556,155154
264728,89048
436786,215224
234543,154852
262615,114102
165719,91462
155758,97802
144891,66107
433767,140364
843085,438296
258691,71540
231222,116215
857575,425014
825578,431655
834331,390301
860291,423807
853047,408110
428636,211602
850632,432258
690346,343211
722645,349852
694873,344721
199225,124365
220959,141571
854254,424108
852745,425919
418675,210093
396337,175077
233335,114102
865422,430448
851236,431353
540021,326609
388490,197716
389998,191076
383660,196206
856971,426523
237561,127082
183227,60975
96896,35317
202244,64899
207074,77879
155456,120743
120440,86331
258389,59466
115912,78785
306384,148211
514364,168738
657142,352266
618806,266539
201037,151532
248126,99311
309704,151834
618504,385773
310309,104140
226392,127685
306988,152438
482367,170850
690044,345022
859084,423806
698798,348946
698798,345626
692459,345626
690648,346229
871762,422297
430750,231222
506214,257182
879911,469387
424410,209489
847311,487498
849424,433768
846406,423505
725663,337174
692459,343513
690346,345626
691553,345324
343211,238165
673442,248428
322081,203451
406601,207979
193189,51013
186548,48297
177492,38033
146702,69427
706948,340796
677970,341701
741058,386376
823767,417769
459728,241183
464859,132515
833728,420486
672536,340494
883836,422901
384565,192886
869950,426524
797505,425014
696986,436485
812296,467274
845500,427731
677366,341098
680687,350757
851839,415958
377019,198320
849424,421090
863913,426523
385773,189867
843086,433164
851537,420185
646879,300951
703929,421090
180812,123459
160889,53731
206168,136439
693968,341400
593450,327514
430750,160889
304573,150023
184133,116214
286764,74559
155456,54938
145797,51920
290386,85727
847915,419882
858480,440107
386075,191377
377925,190471
850934,430447
552699,291895
756452,404186
834331,426222
711777,465161
844897,419580
482065,234543
471500,233034
898928,424109
703628,404487
871158,562057
277104,178699
279821,84520
463652,166323
862103,425316
379132,188660
394224,142175
358303,188963
661066,377623
856065,380943
495950,252353
499573,248428
499270,222469
499572,246919
852141,424410
725965,282235
750114,432560
813503,503195
311516,108970
501686,300649
159984,68824
153947,112593
258993,58862
180510,99009
539116,239976
678875,358002
679479,344721
557831,342909
843388,420486
418373,209187
425014,160587
824069,413543
853047,412638
349852,172963
834935,420788
831313,420788
377622,239070
329024,225185
300951,421090
326307,115611
327514,154249
456709,254767
299743,182322
278916,46486
209187,76672
849123,419279
826484,431654
491422,253559
521306,263219
468783,259899
491121,252050
495044,249334
825578,417467
839463,415354
686120,337778
550888,302762
473311,318156
457011,163606
213412,136741
190472,96896
174775,125572
191377,78181
110781,43166
134628,46788
528550,319063
802335,415958
833426,316949
522514,296725
236052,121950
303064,123459
230316,115913
230316,112895
828596,422599
837350,515269
825578,416863
849727,421089
836445,290688
829501,419279
448559,240580
441314,146401
392715,105952
831615,422901
430749,186849
282236,105952
557227,286763
574131,283745
463349,233939
821050,290990
847915,298234
834935,296725
828596,293707
813201,312422
839161,438598
845198,421694
855159,423505
588620,355587
371586,193188
268048,124667
206470,138552
96594,86029
226996,147306
115309,48901
119535,38034
125874,42864
539418,185038
798713,283443
815013,284952
806561,408714
807466,285858
796901,408110
441314,172058
810183,408412
811390,408110
818635,412940
385169,383056
366152,183529
374302,131308
800825,416261
692157,415355
222468,130704
397244,170549
819239,291593
310007,289480
326005,170851
224280,115007
275595,134024
788449,409318
451275,349248
194999,131911
287065,145495
804448,410827
815616,420486
408412,207375
469387,338683
440710,141269
264124,79388
202244,71842
157267,53429
143986,58560
238165,73049
197716,160587
801127,287066
806560,282840
806259,285556
763093,287368
255370,90255
746491,410827
802636,408412
821955,419581
823163,316044
803843,408412
813806,285254
807466,414449
405695,156965
367963,182322
288273,188359
361020,185642
813202,415053
812296,411732
499874,179303
793279,408714
788752,413241
807164,407808
684913,473613
378830,204357
152136,94179
246013,92066
334457,145796
818937,290084
726568,418977
