Tiempo autenticacion, Tiempo Consulta
366452,134929
382752,104743
327513,112591
359811,109271
346530,143683
296723,252954
335059,155455
423201,101121
441312,117723
324192,105951
735620,187753
365546,127987
257180,85123
379431,90255
1245151,475422
590428,222467
498966,136740
724451,259595
2489698,530057
354378,123157
1213759,457913
1219192,471497
1179648,466668
1147048,478440
578052,230617
1362573,302458
1080339,363433
847910,362528
780898,319362
811989,320570
733205,290384
354378,146701
356188,115309
369773,142475
1504445,610652
300647,130100
328116,107461
244804,123458
319060,135533
874473,267142
273782,135231
715094,344416
1051058,502287
1381891,715396
428332,225184
1046833,496551
185640,76973
254162,100820
374904,169039
1106902,583485
1060717,495344
619406,290988
588013,372489
420483,163002
1065246,481458
1029627,482968
1021778,483270
999441,479648
1003064,367961
1015137,479648
648686,342303
728074,417163
374602,223977
190169,64899
184735,102329
958389,362528
642045,314231
855155,520398
335663,111384
148512,49806
247521,139457
276801,52824
129194,47089
352265,147607
967143,364339
665589,201941
967445,363131
474516,301553
962011,314231
693058,236353
961407,364339
960502,480251
895905,362829
1355630,498060
486590,206771
389996,190773
166020,53730
173868,101423
191677,49203
157568,77275
325399,177491
212204,83614
143683,73653
236956,84822
277404,107762
206771,163002
225184,85727
293402,148815
413541,185640
933637,341397
910092,327814
914922,451575
462139,242993
920959,452782
1077320,444934
885038,338078
888962,453386
533679,266840
531567,262613
860286,318155
576241,388186
349547,127685
406599,175076
294308,174774
120741,139759
692757,463347
418672,198319
834628,321476
837345,449160
530963,265330
830100,316948
795690,470289
204959,156965
183226,157870
845495,316042
601898,231825
1003365,452783
923676,378526
734111,297931
306986,142476
312420,156059
896811,340492
1039890,524624
416862,217939
463347,262915
455499,224580
284649,155153
298837,112290
238164,74860
292497,160587
310609,71841
223071,45580
891981,315740
906168,315740
893792,316042
896811,316947
891980,316646
894698,315136
810178,322079
526133,257180
583787,362528
738638,362830
893792,434671
914620,437690
496854,243294
417163,245107
371282,230315
926393,438897
623934,454895
437387,156663
946315,432558
514361,255973
504399,228202
414447,202243
534283,241182
476327,257482
199526,108366
246314,119836
851834,432256
873568,441312
936354,432256
865720,311514
332644,180509
261104,118629
680079,207374
856362,367055
653515,578958
816819,429238
882019,434973
854551,434972
399655,199526
879303,430747
869644,430143
881416,431350
873869,433464
647479,466969
827988,428332
371886,175075
277405,91764
213713,98103
221561,75162
241785,121648
861192,433463
860889,300950
885642,348944
867832,428936
849118,422597
868436,433161
